X18X78,X18X78.25,X18X78.5,X18X78.75,X18X79,X18X79.25,X18X79.5
0.200000003,0.300000012,0.300000012,0.200000003,0,0,0
8.699999809,8.5,6.099999905,5.300000191,5.300000191,4.900000095,5.5
2.599999905,3.099999905,4.800000191,6.199999809,6.300000191,5.300000191,5.5
2.099999905,1.899999976,6.5,14.39999962,19.10000038,22,21.79999924
0.899999976,0.899999976,2.599999905,3.700000048,3.900000095,2.099999905,2.299999952
0,0,0,0.100000001,0.100000001,0,0.200000003
2.200000048,3.799999952,4,3.200000048,1.700000048,1.799999952,2.400000095
6.300000191,5.199999809,2,5.400000095,9.100000381,15.69999981,15.60000038
8.600000381,8.5,5.900000095,1.799999952,1.299999952,1.899999976,1.899999976
6.699999809,7.099999905,10.80000019,11.19999981,9.300000191,6.199999809,6
28.5,29.10000038,21.39999962,24.89999962,34.59999847,53.79999924,54.20000076
13.30000019,21.10000038,23.89999962,17.10000038,9,2.599999905,2.799999952
26.70000076,24.10000038,17.20000076,8,7.400000095,6.699999809,7.800000191
4.800000191,2.099999905,1.5,1.799999952,2.400000095,2.900000095,3
1.100000024,0.699999988,0,0,0,0,0
0,0,0,1.899999976,3.799999952,7,7
1,1.700000048,3.5,7.099999905,9.199999809,12.30000019,12.60000038
15.19999981,15.10000038,10.60000038,7.400000095,3.200000048,3.900000095,3.900000095
31.20000076,28.10000038,12.89999962,5.699999809,1.700000048,0.800000012,0.800000012
7.400000095,6.5,8.100000381,12,13.80000019,11.80000019,11.60000038
7.5,13,13.69999981,10.80000019,6.400000095,7.699999809,8.199999809
5.900000095,5.699999809,5.199999809,4,3.599999905,2.299999952,2.299999952
0,0.100000001,1.100000024,4.900000095,8,12.39999962,12.5
0.699999988,1.200000048,1.799999952,3.5,4.5,6.599999905,6.699999809
9.399999619,7.699999809,9.600000381,11.19999981,10.80000019,10.19999981,10.39999962
18.89999962,18.70000076,14.5,19.5,24,31.5,31.79999924
11.80000019,6.5,1.799999952,1.399999976,1.700000048,2,1.899999976
0.800000012,1,3.200000048,5,5.800000191,5.300000191,5.199999809
1.899999976,4.699999809,4.699999809,1,0.200000003,0,0.100000001
1.399999976,1.600000024,2,1.899999976,1.600000024,0.400000006,0.400000006
4,3.700000048,7.099999905,11.69999981,12.89999962,10.5,10.19999981
4,3.299999952,2.900000095,3.400000095,3.799999952,2.900000095,2.799999952
0.400000006,0.699999988,0.699999988,0.400000006,0,0,0
1.5,0.899999976,0,0,0,0,0.300000012
0.200000003,0.200000003,0.600000024,0.899999976,1,0.400000006,0.899999976
0.600000024,0.800000012,0.600000024,0.400000006,0,0,0.100000001
0.699999988,0.5,0,0,0,0.100000001,0
0,0.100000001,0,0.300000012,0.400000006,0.800000012,1
2.900000095,2.799999952,1.100000024,0.200000003,0,0,0.200000003
0,0.200000003,0.699999988,1.5,2,2.299999952,2.299999952
0.899999976,2.200000048,2.400000095,0.600000024,0.300000012,0,0.200000003
0.899999976,1.600000024,1.600000024,0.800000012,0.100000001,0,0
11.60000038,7.599999905,0.100000001,0,0,0,0.200000003
2.200000048,0.300000012,4.699999809,7.599999905,7.599999905,2.700000048,3.200000048
0.400000006,0.600000024,0.600000024,0.400000006,0,0,0.100000001
2.5,1,0.200000003,0.800000012,1.200000048,1.899999976,2
3.400000095,4.099999905,3,1.799999952,0.200000003,0,0
4.300000191,2.099999905,2.099999905,0.800000012,0.100000001,0,0.100000001
7.5,4.800000191,0,0.100000001,0.100000001,0,0
2.200000048,2.200000048,1.200000048,0.699999988,0,0,0
1,0.899999976,0.5,0,0,0,0
0.300000012,0.5,0.5,0.300000012,0,0,0
1.299999952,1,0.300000012,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.800000012,1.5,1.399999976,0.899999976,0.100000001,0,0
12.30000019,8.100000381,1.700000048,0.400000006,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.200000003,0.5,0.5,0,0,0,0
0.200000003,0.300000012,0.400000006,0.300000012,0.200000003,0,0
0,0.400000006,0.300000012,0.600000024,1.200000048,2.200000048,2.200000048
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3.900000095,6.599999905,6.5,3.900000095,0.5,0,0
11.30000019,10.5,11.30000019,8.699999809,6,3.700000048,4.599999905
33.70000076,23.89999962,4.900000095,5,6,9.399999619,9.600000381
8.899999619,6.400000095,3,5.300000191,6.800000191,7.900000095,8.699999809
1.600000024,1.399999976,0.400000006,1.399999976,2.700000048,5,5.300000191
0,0,0,0,0,0,0
0,0,0,0,0,0,0.300000012
17.89999962,11.39999962,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.899999976,3.299999952,10.39999962,17.29999924,19.39999962,17.89999962,17.60000038
5.900000095,10.30000019,10,5.900000095,0.800000012,0,0
5.900000095,14.80000019,24.5,21.39999962,22.70000076,17.39999962,16.89999962
2.200000048,4.5,4.900000095,1.799999952,1.899999976,3.099999905,3.200000048
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.5,0.800000012,0.800000012,0.5,0,0,0
12,10.39999962,17.5,28.5,33.20000076,38.29999924,38
36.40000153,33.70000076,29.20000076,29.5,31,20.89999962,20.20000076
6.300000191,4,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.699999988,0,0,0,0,0,0
2.099999905,5.800000191,5.699999809,0.899999976,0.200000003,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.600000024,0.400000006,0,2.200000048,4.300000191,7.900000095,7.900000095
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6.199999809,8.100000381,7.900000095,7.300000191,5.599999905,9.100000381,9.100000381
3.200000048,9.100000381,8.699999809,1.600000024,0.699999988,0.899999976,0.800000012
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
